#,Tipe,Biaya,Modal,DP Server,Sisa Server,Profit,Metode Pembayaran,Supplier,Status,Tanggal Transaksi,Tanggal Selesai
189,Tipe A,210000,190000,190000,0,20000,Transfer,Supplier A,Selesai,12 Agustus 2025,20 Agustus 2025
190,Tipe A,210000,180000,180000,0,30000,Transfer,Supplier A,Selesai,13 Agustus 2025,14 Agustus 2025
191,Tipe A,210000,180000,180000,0,30000,Transfer,Supplier A,Selesai,13 Agustus 2025,14 Agustus 2025
192,Tipe A,210000,180000,180000,0,30000,Transfer,Supplier B,Selesai,13 Agustus 2025,14 Agustus 2025
193,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier B,Selesai,14 Agustus 2025,20 Agustus 2025
194,Tipe A,185000,180000,180000,0,5000,Transfer,Supplier B,Selesai,14 Agustus 2025,20 Agustus 2025
195,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier B,Selesai,14 Agustus 2025,20 Agustus 2025
196,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier B,Selesai,14 Agustus 2025,20 Agustus 2025
197,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,14 Agustus 2025,20 Agustus 2025
198,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,14 Agustus 2025,20 Agustus 2025
199,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,15 Agustus 2025,20 Agustus 2025
200,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,15 Agustus 2025,20 Agustus 2025
201,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier B,Selesai,19 Agustus 2025,23 Agustus 2025
202,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier B,Selesai,19 Agustus 2025,23 Agustus 2025
203,Tipe A,200000,165000,165000,0,35000,Transfer,Supplier B,Selesai,19 Agustus 2025,23 Agustus 2025
204,Tipe A,210000,180000,180000,0,30000,Transfer,Supplier A,Selesai,19 Agustus 2025,23 Agustus 2025
205,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,19 Agustus 2025,12 September 2025
206,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,19 Agustus 2025,12 September 2025
207,Tipe A,190000,160000,160000,0,30000,Transfer,Supplier B,Selesai,23 Agustus 2025,26 Agustus 2025
208,Tipe A,190000,160000,160000,0,30000,Transfer,Supplier B,Selesai,23 Agustus 2025,26 Agustus 2025
209,Tipe A,190000,160000,160000,0,30000,Transfer,Supplier B,Selesai,23 Agustus 2025,26 Agustus 2025
210,Tipe A,190000,160000,160000,0,30000,Transfer,Supplier B,Selesai,23 Agustus 2025,26 Agustus 2025
211,Tipe A,300000,160000,160000,0,140000,Transfer,Supplier B,Selesai,23 Agustus 2025,26 Agustus 2025
212,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,22 Agustus 2025,26 Agustus 2025
213,Tipe A,200000,180000,180000,0,20000,Transfer,Supplier A,Selesai,22 Agustus 2025,26 Agustus 2025
214,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier A,Selesai,24 Agustus 2025,26 Agustus 2025
215,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier A,Selesai,24 Agustus 2025,26 Agustus 2025
216,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier A,Selesai,24 Agustus 2025,26 Agustus 2025
217,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,24 Agustus 2025,26 Agustus 2025
218,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier A,Selesai,24 Agustus 2025,26 Agustus 2025
219,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
220,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
221,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
222,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
223,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
224,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
225,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
226,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
227,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
228,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
229,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
230,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
231,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,25 Agustus 2025,26 Agustus 2025
232,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
233,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
234,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
235,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
236,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
237,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
238,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,26 Agustus 2025,26 Agustus 2025
239,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,27 Agustus 2025,27 Agustus 2025
240,Tipe A,190000,170000,170000,0,20000,Transfer,Supplier B,Selesai,27 Agustus 2025,27 Agustus 2025
241,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,27 Agustus 2025,27 Agustus 2025
242,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,27 Agustus 2025,27 Agustus 2025
243,Tipe A,200000,170000,170000,0,30000,Transfer,Supplier B,Selesai,27 Agustus 2025,27 Agustus 2025
